规则格网体积计算
	基本信息
--------------------------------------------------------------------------------------------------
基准高程:9
单位网格边长:1
网格纵向个数:56
网格横向个数:26
单位网格总数:1456
总体积:3055.323
填方体积:0
挖方体积:3055.323

	凸包点信息
--------------------------------------------------------------------------------------------------
点号          X坐标         Y坐标         高程          
6,39           3783.116       2851.174       10.8478637571844 1.84786375718439
6,40           3784.116       2851.174       10.8250373457233 1.82503734572334
6,41           3785.116       2851.174       10.8062803090241 1.8062803090241
6,42           3786.116       2851.174       10.8908449282499 1.89084492824995
6,43           3787.116       2851.174       10.9515617427875 1.9515617427875
6,44           3788.116       2851.174       10.9894004014029 1.98940040140289
6,45           3789.116       2851.174       11.0052685155666 2.0052685155666
6,46           3790.116       2851.174       11.0284102702167 2.02841027021667
7,2            3746.116       2852.174       11.8886337551861 2.88863375518606
7,3            3747.116       2852.174       11.9102443565571 2.91024435655706
7,4            3748.116       2852.174       11.7630439143837 2.7630439143837
7,5            3749.116       2852.174       11.8453327535863 2.84533275358628
7,6            3750.116       2852.174       12.1498950766176 3.14989507661755
7,7            3751.116       2852.174       12.3497774805946 3.34977748059464
7,8            3752.116       2852.174       12.5250740061842 3.52507400618425
7,9            3753.116       2852.174       12.71770451404 3.71770451404004
7,10           3754.116       2852.174       12.8381840361722 3.83818403617223
7,11           3755.116       2852.174       12.9374631564358 3.93746315643579
7,12           3756.116       2852.174       13.0407030725011 4.04070307250113
7,13           3757.116       2852.174       13.0791702830715 4.07917028307155
7,14           3758.116       2852.174       13.0936588180226 4.09365881802258
7,15           3759.116       2852.174       13.13574903602 4.13574903601997
7,16           3760.116       2852.174       13.2442548027861 4.24425480278613
7,17           3761.116       2852.174       13.2948981592635 4.29489815926353
7,18           3762.116       2852.174       13.281058912187 4.28105891218701
7,19           3763.116       2852.174       13.313952205258 4.31395220525805
7,20           3764.116       2852.174       13.3155226844757 4.31552268447575
7,21           3765.116       2852.174       13.2113570236817 4.21135702368171
7,22           3766.116       2852.174       13.1202019259367 4.12020192593667
7,23           3767.116       2852.174       13.0654592546193 4.06545925461931
7,24           3768.116       2852.174       12.9357513151952 3.93575131519516
7,25           3769.116       2852.174       12.7382880724219 3.73828807242191
7,26           3770.116       2852.174       12.505399529384 3.50539952938399
7,27           3771.116       2852.174       12.2920093026482 3.29200930264823
7,28           3772.116       2852.174       12.1142502600774 3.11425026007738
7,29           3773.116       2852.174       11.9550127710155 2.95501277101552
7,30           3774.116       2852.174       11.7542661770061 2.7542661770061
7,31           3775.116       2852.174       11.5930669245747 2.59306692457469
7,32           3776.116       2852.174       11.4901507183906 2.49015071839064
7,33           3777.116       2852.174       11.3915476204571 2.39154762045715
7,34           3778.116       2852.174       11.2609881165672 2.26098811656716
7,35           3779.116       2852.174       11.1413884763557 2.14138847635571
7,36           3780.116       2852.174       11.0773516270471 2.07735162704713
7,37           3781.116       2852.174       11.0210960925849 2.02109609258492
7,38           3782.116       2852.174       10.9514095286829 1.95140952868288
7,39           3783.116       2852.174       10.9122745386074 1.91227453860741
7,40           3784.116       2852.174       10.7427890605429 1.74278906054288
7,41           3785.116       2852.174       10.6926643988524 1.69266439885235
7,42           3786.116       2852.174       10.8702312366124 1.87023123661243
7,43           3787.116       2852.174       10.9505792677984 1.95057926779838
7,44           3788.116       2852.174       10.9728664890173 1.9728664890173
7,45           3789.116       2852.174       10.9641191725261 1.96411917252608
7,46           3790.116       2852.174       11.0008050392499 2.00080503924986
7,47           3791.116       2852.174       11.0623802150772 2.06238021507724
8,1            3745.116       2853.174       11.6534488245574 2.65344882455736
8,2            3746.116       2853.174       11.940974886727 2.94097488672701
8,3            3747.116       2853.174       12.062766288045 3.06276628804505
8,4            3748.116       2853.174       12.0588716028245 3.0588716028245
8,5            3749.116       2853.174       12.1795673106553 3.17956731065529
8,6            3750.116       2853.174       12.3777319273552 3.37773192735522
8,7            3751.116       2853.174       12.5073906534963 3.50739065349628
8,8            3752.116       2853.174       12.6542730658216 3.65427306582161
8,9            3753.116       2853.174       12.8063608470352 3.80636084703517
